max_rise,max_fall,fault_site
data_rdata_i[20],0.52,0.40
data_rdata_i[19],0.52,0.41
data_rdata_i[18],0.52,0.38
data_rdata_i[17],0.48,0.40
data_rdata_i[16],0.49,0.40
data_rdata_i[15],0.23,0.11
data_rdata_i[14],0.44,0.32
data_rdata_i[13],0.43,0.32
data_rdata_i[12],0.44,0.33
data_rdata_i[11],0.44,0.33
data_rdata_i[10],0.44,0.30
data_rdata_i[9],0.41,0.35
data_rdata_i[8],0.41,0.35
data_rdata_i[7],0.23,0.11
data_rdata_i[6],0.44,0.31
data_rdata_i[5],0.42,0.31
data_rdata_i[4],0.44,0.32
data_rdata_i[3],0.44,0.32
data_rdata_i[2],0.44,0.30
data_rdata_i[1],0.41,0.35
data_rdata_i[0],0.41,0.35
irq_i[31],1.02,0.85
irq_i[30],1.02,0.85
irq_i[29],1.08,0.97
irq_i[28],1.08,0.98
irq_i[27],1.08,0.98
irq_i[26],1.01,0.84
irq_i[25],1.08,0.98
irq_i[24],1.01,0.84
irq_i[23],1.01,0.85
irq_i[22],1.02,0.85
irq_i[21],1.01,0.85
irq_i[20],1.01,0.84
irq_i[19],1.01,0.85
irq_i[18],1.01,0.84
irq_i[17],1.08,0.97
irq_i[16],1.01,0.84
irq_i[15],*,*
irq_i[14],*,*
irq_i[13],*,*
irq_i[12],*,*
irq_i[11],1.02,0.85
irq_i[10],*,*
irq_i[9],*,*
irq_i[8],*,*
irq_i[7],1.01,0.84
irq_i[6],*,*
irq_i[5],*,*
irq_i[4],*,*
irq_i[3],1.02,0.85
irq_i[2],*,*
irq_i[1],*,*
irq_i[0],*,*
debug_req_i,0.49,0.42
fetch_enable_i,*,*
instr_addr_o[1],*,*
instr_addr_o[0],*,*
data_we_o,1.90,1.91
debug_havereset_o,*,*
debug_running_o,*,*
debug_halted_o,*,*
core_i/load_store_unit_i/U105/A,0.87,0.87
core_i/load_store_unit_i/U105/ZN,0.87,0.87
core_i/load_store_unit_i/U106/A,0.87,0.87
core_i/load_store_unit_i/U106/ZN,0.87,0.87
core_i/load_store_unit_i/U107/A,0.87,0.87
core_i/load_store_unit_i/U107/ZN,0.87,0.87
core_i/load_store_unit_i/U108/A,0.87,0.87
core_i/load_store_unit_i/U108/ZN,0.87,0.87
core_i/load_store_unit_i/U109/A,0.87,0.87
core_i/load_store_unit_i/U109/ZN,0.87,0.87
core_i/load_store_unit_i/U300/A,1.68,1.63
core_i/load_store_unit_i/U300/ZN,1.63,1.68
core_i/load_store_unit_i/U308/A1,4.03,3.96
core_i/load_store_unit_i/U308/A2,3.99,3.93
core_i/load_store_unit_i/U308/ZN,3.93,3.99
core_i/load_store_unit_i/U119/A,1.09,1.07
core_i/load_store_unit_i/U119/ZN,1.07,1.09
core_i/load_store_unit_i/U63/A1,3.94,4.02
core_i/load_store_unit_i/U63/A2,3.89,3.98
core_i/load_store_unit_i/U63/ZN,3.98,3.89
core_i/load_store_unit_i/U64/A,1.77,1.82
core_i/load_store_unit_i/U64/ZN,1.82,1.77
core_i/load_store_unit_i/U65/A1,0.55,0.47
core_i/load_store_unit_i/U65/A2,4.45,4.38
core_i/load_store_unit_i/U65/ZN,0.47,0.55
core_i/load_store_unit_i/U310/A1,4.03,3.93
core_i/load_store_unit_i/U310/A2,4.05,3.95
core_i/load_store_unit_i/U310/ZN,3.93,4.03
core_i/load_store_unit_i/U502/A,1.64,1.62
core_i/load_store_unit_i/U502/ZN,1.62,1.64
core_i/load_store_unit_i/U311/A1,4.02,4.06
core_i/load_store_unit_i/U311/A2,4.03,4.06
core_i/load_store_unit_i/U311/ZN,4.06,4.02
core_i/load_store_unit_i/U121/A,0.21,0.21
core_i/load_store_unit_i/U121/ZN,0.21,0.21
core_i/load_store_unit_i/U314/A1,4.27,4.24
core_i/load_store_unit_i/U314/A2,0.41,0.35
core_i/load_store_unit_i/U314/B1,0.41,0.35
core_i/load_store_unit_i/U314/B2,4.23,4.21
core_i/load_store_unit_i/U314/ZN,0.35,0.41
core_i/load_store_unit_i/U317/A1,4.03,4.00
core_i/load_store_unit_i/U317/A2,4.12,4.04
core_i/load_store_unit_i/U317/ZN,4.00,4.03
core_i/load_store_unit_i/U127/A,0.24,0.22
core_i/load_store_unit_i/U127/ZN,0.22,0.24
core_i/load_store_unit_i/U3/A,0.22,0.14
core_i/load_store_unit_i/U3/ZN,0.14,0.22
core_i/load_store_unit_i/U4/A,0.19,0.11
core_i/load_store_unit_i/U4/ZN,0.11,0.19
core_i/load_store_unit_i/U131/A,0.29,0.30
core_i/load_store_unit_i/U131/ZN,0.30,0.29
core_i/load_store_unit_i/U6/A1,3.87,3.87
core_i/load_store_unit_i/U6/A2,3.85,3.85
core_i/load_store_unit_i/U6/ZN,3.85,3.85
core_i/load_store_unit_i/U516/A1,4.76,4.69
core_i/load_store_unit_i/U516/A2,4.77,4.69
core_i/load_store_unit_i/U516/A3,4.75,4.67
core_i/load_store_unit_i/U516/ZN,4.75,4.67
core_i/load_store_unit_i/U328/A1,4.26,4.24
core_i/load_store_unit_i/U328/A2,0.41,0.35
core_i/load_store_unit_i/U328/B1,0.41,0.35
core_i/load_store_unit_i/U328/B2,4.23,4.21
core_i/load_store_unit_i/U328/ZN,0.35,0.41
core_i/load_store_unit_i/U141/A,0.42,0.43
core_i/load_store_unit_i/U141/ZN,0.43,0.42
core_i/load_store_unit_i/U336/A1,4.30,4.21
core_i/load_store_unit_i/U336/A2,0.44,0.33
core_i/load_store_unit_i/U336/B1,0.44,0.32
core_i/load_store_unit_i/U336/B2,4.26,4.18
core_i/load_store_unit_i/U336/ZN,0.32,0.44
core_i/load_store_unit_i/U146/A,0.48,0.45
core_i/load_store_unit_i/U146/ZN,0.45,0.48
core_i/load_store_unit_i/U95/A,0.19,0.22
core_i/load_store_unit_i/U95/ZN,0.22,0.19
core_i/load_store_unit_i/U151/A,0.45,0.44
core_i/load_store_unit_i/U151/ZN,0.44,0.45
core_i/load_store_unit_i/U343/A1,4.30,4.21
core_i/load_store_unit_i/U343/A2,0.44,0.33
core_i/load_store_unit_i/U343/B1,0.44,0.32
core_i/load_store_unit_i/U343/B2,4.26,4.18
core_i/load_store_unit_i/U343/ZN,0.32,0.44
core_i/load_store_unit_i/U155/A,0.55,0.51
core_i/load_store_unit_i/U155/ZN,0.51,0.55
core_i/load_store_unit_i/U351/A1,4.06,3.99
core_i/load_store_unit_i/U351/A2,0.23,0.11
core_i/load_store_unit_i/U351/B1,0.23,0.11
core_i/load_store_unit_i/U351/B2,4.08,3.98
core_i/load_store_unit_i/U351/ZN,0.11,0.23
core_i/load_store_unit_i/U355/A1,4.13,4.22
core_i/load_store_unit_i/U355/A2,4.14,4.21
core_i/load_store_unit_i/U355/ZN,4.21,4.13
core_i/load_store_unit_i/U739/A,1.75,1.71
core_i/load_store_unit_i/U739/ZN,1.71,1.75
core_i/load_store_unit_i/U164/A,0.66,0.65
core_i/load_store_unit_i/U164/ZN,0.65,0.66
core_i/load_store_unit_i/U168/A,0.48,0.45
core_i/load_store_unit_i/U168/ZN,0.45,0.48
core_i/load_store_unit_i/U172/A,0.54,0.50
core_i/load_store_unit_i/U172/ZN,0.50,0.54
core_i/load_store_unit_i/U176/A,0.62,0.60
core_i/load_store_unit_i/U176/ZN,0.60,0.62
core_i/load_store_unit_i/U179/A,0.76,0.73
core_i/load_store_unit_i/U179/ZN,0.73,0.76
core_i/load_store_unit_i/U184/A,0.83,0.82
core_i/load_store_unit_i/U184/ZN,0.82,0.83
core_i/load_store_unit_i/U189/A,0.85,0.83
core_i/load_store_unit_i/U189/ZN,0.83,0.85
core_i/load_store_unit_i/U381/A1,4.30,4.19
core_i/load_store_unit_i/U381/A2,0.44,0.30
core_i/load_store_unit_i/U381/B1,0.44,0.30
core_i/load_store_unit_i/U381/B2,4.26,4.16
core_i/load_store_unit_i/U381/ZN,0.30,0.44
core_i/load_store_unit_i/U765/A,0.87,0.87
core_i/load_store_unit_i/U765/ZN,0.87,0.87
core_i/load_store_unit_i/U768/A,0.87,0.87
core_i/load_store_unit_i/U768/ZN,0.87,0.87
core_i/load_store_unit_i/U193/A,0.75,0.71
core_i/load_store_unit_i/U193/ZN,0.71,0.75
core_i/load_store_unit_i/U197/A,0.79,0.75
core_i/load_store_unit_i/U197/ZN,0.75,0.79
core_i/load_store_unit_i/U394/A1,4.28,4.20
core_i/load_store_unit_i/U394/A2,0.43,0.32
core_i/load_store_unit_i/U394/B1,0.42,0.31
core_i/load_store_unit_i/U394/B2,4.25,4.17
core_i/load_store_unit_i/U394/ZN,0.31,0.42
core_i/load_store_unit_i/U201/A,0.82,0.80
core_i/load_store_unit_i/U201/ZN,0.80,0.82
core_i/load_store_unit_i/U204/A,1.01,0.97
core_i/load_store_unit_i/U204/ZN,0.97,1.01
core_i/load_store_unit_i/U210/A,1.14,1.13
core_i/load_store_unit_i/U210/ZN,1.13,1.14
core_i/load_store_unit_i/U402/A1,4.30,4.20
core_i/load_store_unit_i/U402/A2,0.44,0.32
core_i/load_store_unit_i/U402/B1,0.44,0.31
core_i/load_store_unit_i/U402/B2,4.26,4.17
core_i/load_store_unit_i/U402/ZN,0.31,0.44
core_i/load_store_unit_i/U214/A,1.32,1.33
core_i/load_store_unit_i/U214/ZN,1.33,1.32
core_i/load_store_unit_i/U216/A,1.24,1.23
core_i/load_store_unit_i/U216/ZN,1.23,1.24
core_i/load_store_unit_i/U221/A,1.23,1.30
core_i/load_store_unit_i/U221/ZN,1.30,1.23
core_i/load_store_unit_i/U224/A,1.24,1.27
core_i/load_store_unit_i/U224/ZN,1.27,1.24
core_i/load_store_unit_i/U227/A,1.36,1.36
core_i/load_store_unit_i/U227/ZN,1.36,1.36
core_i/load_store_unit_i/U229/A,1.47,1.50
core_i/load_store_unit_i/U229/ZN,1.50,1.47
core_i/load_store_unit_i/U422/A,0.29,0.18
core_i/load_store_unit_i/U422/ZN,0.18,0.29
core_i/load_store_unit_i/U236/A,1.57,1.58
core_i/load_store_unit_i/U236/ZN,1.58,1.57
core_i/load_store_unit_i/U238/A,1.61,1.63
core_i/load_store_unit_i/U238/ZN,1.63,1.61
core_i/load_store_unit_i/U242/A,1.62,1.68
core_i/load_store_unit_i/U242/ZN,1.68,1.62
core_i/cs_registers_i/U720/A,0.41,0.48
core_i/cs_registers_i/U720/ZN,0.48,0.41
core_i/cs_registers_i/U724/A,0.38,0.42
core_i/cs_registers_i/U724/ZN,0.42,0.38
