               *               *    core_i/load_store_unit_i/U517/output
            1.32            1.21    core_i/load_store_unit_i/U662/ZN
            1.20            1.31    core_i/load_store_unit_i/U665/A1
            1.75            1.78    core_i/load_store_unit_i/U665/A2
            1.31            1.20    core_i/load_store_unit_i/U665/ZN
            1.21            1.32    core_i/load_store_unit_i/U669/A1
            1.74            1.78    core_i/load_store_unit_i/U669/A2
            1.32            1.21    core_i/load_store_unit_i/U669/ZN
            0.39            0.53    core_i/load_store_unit_i/U478/B1
            0.49            0.56    core_i/load_store_unit_i/U478/B2
            0.22            0.27    core_i/load_store_unit_i/U478/A
            0.27            0.22    core_i/load_store_unit_i/U478/ZN
            1.20            1.31    core_i/load_store_unit_i/U672/A1
            1.75            1.78    core_i/load_store_unit_i/U672/A2
            1.31            1.20    core_i/load_store_unit_i/U672/ZN
            0.38            0.51    core_i/load_store_unit_i/U481/C1
            0.32            0.47    core_i/load_store_unit_i/U481/C2
            0.15            0.26    core_i/load_store_unit_i/U481/A
            0.11            0.23    core_i/load_store_unit_i/U481/B
            0.23            0.11    core_i/load_store_unit_i/U481/ZN
            0.41            0.59    core_i/load_store_unit_i/U484/C1
            0.32            0.47    core_i/load_store_unit_i/U484/C2
            0.15            0.26    core_i/load_store_unit_i/U484/A
            0.11            0.24    core_i/load_store_unit_i/U484/B
            0.24            0.11    core_i/load_store_unit_i/U484/ZN
            1.21            1.32    core_i/load_store_unit_i/U676/A1
            1.75            1.78    core_i/load_store_unit_i/U676/A2
            1.32            1.21    core_i/load_store_unit_i/U676/ZN
            1.37            1.40    core_i/load_store_unit_i/U293/A
            1.40            1.43    core_i/load_store_unit_i/U293/B
            1.37            1.40    core_i/load_store_unit_i/U293/Z
            0.37            0.51    core_i/load_store_unit_i/U487/C1
            0.32            0.47    core_i/load_store_unit_i/U487/C2
            0.15            0.26    core_i/load_store_unit_i/U487/A
            0.11            0.23    core_i/load_store_unit_i/U487/B
            0.23            0.11    core_i/load_store_unit_i/U487/ZN
            1.20            1.31    core_i/load_store_unit_i/U679/A1
            1.75            1.78    core_i/load_store_unit_i/U679/A2
            1.31            1.20    core_i/load_store_unit_i/U679/ZN
            0.37            0.51    core_i/load_store_unit_i/U490/C1
            0.32            0.46    core_i/load_store_unit_i/U490/C2
            0.15            0.25    core_i/load_store_unit_i/U490/A
            0.11            0.23    core_i/load_store_unit_i/U490/B
            0.23            0.11    core_i/load_store_unit_i/U490/ZN
            1.21            1.32    core_i/load_store_unit_i/U683/A1
            1.75            1.78    core_i/load_store_unit_i/U683/A2
            1.32            1.21    core_i/load_store_unit_i/U683/ZN
            0.68            0.68    core_i/load_store_unit_i/U493/A1
            4.38            4.33    core_i/load_store_unit_i/U493/A2
            0.68            0.68    core_i/load_store_unit_i/U493/ZN
            1.20            1.31    core_i/load_store_unit_i/U686/A1
            1.74            1.78    core_i/load_store_unit_i/U686/A2
            1.31            1.20    core_i/load_store_unit_i/U686/ZN
            3.21            3.14    core_i/load_store_unit_i/U305/A1
            3.59            3.48    core_i/load_store_unit_i/U305/A2
            3.14            3.21    core_i/load_store_unit_i/U305/ZN
            1.21            1.32    core_i/load_store_unit_i/U690/A1
            1.75            1.78    core_i/load_store_unit_i/U690/A2
            1.32            1.21    core_i/load_store_unit_i/U690/ZN
            1.20            1.31    core_i/load_store_unit_i/U693/A1
            1.75            1.78    core_i/load_store_unit_i/U693/A2
            1.31            1.20    core_i/load_store_unit_i/U693/ZN
            1.21            1.32    core_i/load_store_unit_i/U697/A1
            1.74            1.78    core_i/load_store_unit_i/U697/A2
            1.32            1.21    core_i/load_store_unit_i/U697/ZN
            1.20            1.31    core_i/load_store_unit_i/U699/A1
            1.75            1.78    core_i/load_store_unit_i/U699/A2
            1.31            1.20    core_i/load_store_unit_i/U699/ZN
            1.71            1.71    core_i/load_store_unit_i/U501/A1
            1.36            1.40    core_i/load_store_unit_i/U501/A2
            1.36            1.40    core_i/load_store_unit_i/U501/ZN
            1.23            1.35    core_i/load_store_unit_i/U504/A1
            1.80            1.83    core_i/load_store_unit_i/U504/A2
            1.35            1.23    core_i/load_store_unit_i/U504/ZN
            1.36            1.32    core_i/load_store_unit_i/U506/A1
            1.69            1.69    core_i/load_store_unit_i/U506/A2
            1.32            1.36    core_i/load_store_unit_i/U506/ZN
            1.29            1.37    core_i/load_store_unit_i/U507/A1
            1.18            1.19    core_i/load_store_unit_i/U507/A2
            1.18            1.19    core_i/load_store_unit_i/U507/ZN
            1.21            1.32    core_i/load_store_unit_i/U702/A1
            1.75            1.78    core_i/load_store_unit_i/U702/A2
            1.32            1.21    core_i/load_store_unit_i/U702/ZN
            1.44            1.37    core_i/load_store_unit_i/U513/A1
            1.65            1.62    core_i/load_store_unit_i/U513/A2
            1.44            1.37    core_i/load_store_unit_i/U513/ZN
            1.20            1.31    core_i/load_store_unit_i/U705/A1
            1.75            1.78    core_i/load_store_unit_i/U705/A2
            1.31            1.20    core_i/load_store_unit_i/U705/ZN
            1.67            1.64    core_i/load_store_unit_i/U515/A
            1.72            1.69    core_i/load_store_unit_i/U515/B
            1.35            1.40    core_i/load_store_unit_i/U515/S
            1.37            1.35    core_i/load_store_unit_i/U515/Z
            1.21            1.32    core_i/load_store_unit_i/U709/A1
            1.75            1.78    core_i/load_store_unit_i/U709/A2
            1.32            1.21    core_i/load_store_unit_i/U709/ZN
            1.20            1.31    core_i/load_store_unit_i/U518/A1
            1.76            1.79    core_i/load_store_unit_i/U518/A2
            1.31            1.20    core_i/load_store_unit_i/U518/ZN
            1.20            1.31    core_i/load_store_unit_i/U712/A1
            1.74            1.78    core_i/load_store_unit_i/U712/A2
            1.31            1.20    core_i/load_store_unit_i/U712/ZN
            1.20            1.20    core_i/load_store_unit_i/U521/A
            1.20            1.20    core_i/load_store_unit_i/U521/ZN
            1.21            1.32    core_i/load_store_unit_i/U524/A1
            1.75            1.78    core_i/load_store_unit_i/U524/A2
            1.32            1.21    core_i/load_store_unit_i/U524/ZN
            1.21            1.32    core_i/load_store_unit_i/U716/A1
            1.75            1.78    core_i/load_store_unit_i/U716/A2
            1.32            1.21    core_i/load_store_unit_i/U716/ZN
            1.20            1.31    core_i/load_store_unit_i/U527/A1
            1.75            1.78    core_i/load_store_unit_i/U527/A2
            1.31            1.20    core_i/load_store_unit_i/U527/ZN
            1.20            1.31    core_i/load_store_unit_i/U719/A1
            1.75            1.78    core_i/load_store_unit_i/U719/A2
            1.31            1.20    core_i/load_store_unit_i/U719/ZN
            0.11            0.19    core_i/load_store_unit_i/U145/B1
            0.19            0.31    core_i/load_store_unit_i/U145/B2
            0.20            0.33    core_i/load_store_unit_i/U145/A
            0.19            0.11    core_i/load_store_unit_i/U145/ZN
            3.08            3.08    core_i/load_store_unit_i/U94/A
            3.08            3.08    core_i/load_store_unit_i/U94/ZN
            1.21            1.32    core_i/load_store_unit_i/U531/A1
            1.76            1.79    core_i/load_store_unit_i/U531/A2
            1.32            1.21    core_i/load_store_unit_i/U531/ZN
            1.21            1.32    core_i/load_store_unit_i/U723/A1
            1.74            1.78    core_i/load_store_unit_i/U723/A2
            1.32            1.21    core_i/load_store_unit_i/U723/ZN
            1.20            1.31    core_i/load_store_unit_i/U534/A1
            1.77            1.78    core_i/load_store_unit_i/U534/A2
            1.31            1.20    core_i/load_store_unit_i/U534/ZN
            1.20            1.31    core_i/load_store_unit_i/U726/A1
            1.75            1.78    core_i/load_store_unit_i/U726/A2
            1.31            1.20    core_i/load_store_unit_i/U726/ZN
            1.21            1.32    core_i/load_store_unit_i/U538/A1
            1.75            1.78    core_i/load_store_unit_i/U538/A2
            1.32            1.21    core_i/load_store_unit_i/U538/ZN
            1.21            1.32    core_i/load_store_unit_i/U730/A1
            1.75            1.78    core_i/load_store_unit_i/U730/A2
            1.32            1.21    core_i/load_store_unit_i/U730/ZN
            1.20            1.31    core_i/load_store_unit_i/U541/A1
            1.75            1.78    core_i/load_store_unit_i/U541/A2
            1.31            1.20    core_i/load_store_unit_i/U541/ZN
            1.20            1.31    core_i/load_store_unit_i/U733/A1
            1.75            1.78    core_i/load_store_unit_i/U733/A2
            1.31            1.20    core_i/load_store_unit_i/U733/ZN
            1.21            1.32    core_i/load_store_unit_i/U545/A1
            1.76            1.78    core_i/load_store_unit_i/U545/A2
            1.32            1.21    core_i/load_store_unit_i/U545/ZN
            1.21            1.32    core_i/load_store_unit_i/U737/A1
            1.75            1.78    core_i/load_store_unit_i/U737/A2
            1.32            1.21    core_i/load_store_unit_i/U737/ZN
            1.20            1.31    core_i/load_store_unit_i/U547/A1
            1.74            1.78    core_i/load_store_unit_i/U547/A2
            1.31            1.20    core_i/load_store_unit_i/U547/ZN
            1.71            1.75    core_i/load_store_unit_i/U740/A1
            1.26            1.36    core_i/load_store_unit_i/U740/A2
            1.36            1.26    core_i/load_store_unit_i/U740/ZN
            1.19            1.30    core_i/load_store_unit_i/U742/A1
            1.63            1.64    core_i/load_store_unit_i/U742/A2
            1.30            1.19    core_i/load_store_unit_i/U742/ZN
            1.21            1.32    core_i/load_store_unit_i/U551/A1
            1.75            1.78    core_i/load_store_unit_i/U551/A2
            1.32            1.21    core_i/load_store_unit_i/U551/ZN
            1.20            1.31    core_i/load_store_unit_i/U743/A1
            1.76            1.78    core_i/load_store_unit_i/U743/A2
            1.31            1.20    core_i/load_store_unit_i/U743/ZN
            1.20            1.31    core_i/load_store_unit_i/U554/A1
            1.75            1.78    core_i/load_store_unit_i/U554/A2
            1.31            1.20    core_i/load_store_unit_i/U554/ZN
            1.21            1.32    core_i/load_store_unit_i/U558/A1
            1.74            1.78    core_i/load_store_unit_i/U558/A2
            1.32            1.21    core_i/load_store_unit_i/U558/ZN
            1.20            1.31    core_i/load_store_unit_i/U561/A1
            1.75            1.78    core_i/load_store_unit_i/U561/A2
            1.31            1.20    core_i/load_store_unit_i/U561/ZN
            1.21            1.32    core_i/load_store_unit_i/U565/A1
            1.75            1.78    core_i/load_store_unit_i/U565/A2
            1.32            1.21    core_i/load_store_unit_i/U565/ZN
            0.39            0.52    core_i/load_store_unit_i/U374/B1
            0.49            0.55    core_i/load_store_unit_i/U374/B2
            0.23            0.26    core_i/load_store_unit_i/U374/A
            0.26            0.23    core_i/load_store_unit_i/U374/ZN
            1.20            1.31    core_i/load_store_unit_i/U568/A1
            1.75            1.78    core_i/load_store_unit_i/U568/A2
            1.31            1.20    core_i/load_store_unit_i/U568/ZN
            0.39            0.53    core_i/load_store_unit_i/U380/B1
            0.49            0.56    core_i/load_store_unit_i/U380/B2
            0.22            0.27    core_i/load_store_unit_i/U380/A
            0.27            0.22    core_i/load_store_unit_i/U380/ZN
            1.21            1.32    core_i/load_store_unit_i/U572/A1
            1.75            1.78    core_i/load_store_unit_i/U572/A2
            1.32            1.21    core_i/load_store_unit_i/U572/ZN
            1.20            1.31    core_i/load_store_unit_i/U575/A1
            1.74            1.78    core_i/load_store_unit_i/U575/A2
            1.31            1.20    core_i/load_store_unit_i/U575/ZN
            1.21            1.32    core_i/load_store_unit_i/U579/A1
            1.75            1.78    core_i/load_store_unit_i/U579/A2
            1.32            1.21    core_i/load_store_unit_i/U579/ZN
            1.20            1.31    core_i/load_store_unit_i/U582/A1
            1.75            1.78    core_i/load_store_unit_i/U582/A2
            1.31            1.20    core_i/load_store_unit_i/U582/ZN
            0.39            0.53    core_i/load_store_unit_i/U393/B1
            0.49            0.56    core_i/load_store_unit_i/U393/B2
            0.22            0.27    core_i/load_store_unit_i/U393/A
            0.27            0.22    core_i/load_store_unit_i/U393/ZN
            1.21            1.32    core_i/load_store_unit_i/U586/A1
            1.74            1.78    core_i/load_store_unit_i/U586/A2
            1.32            1.21    core_i/load_store_unit_i/U586/ZN
            1.20            1.31    core_i/load_store_unit_i/U589/A1
            1.75            1.78    core_i/load_store_unit_i/U589/A2
            1.31            1.20    core_i/load_store_unit_i/U589/ZN
            1.21            1.32    core_i/load_store_unit_i/U593/A1
            1.75            1.78    core_i/load_store_unit_i/U593/A2
            1.32            1.21    core_i/load_store_unit_i/U593/ZN
            1.20            1.31    core_i/load_store_unit_i/U596/A1
            1.75            1.78    core_i/load_store_unit_i/U596/A2
            1.31            1.20    core_i/load_store_unit_i/U596/ZN
            0.62            0.59    core_i/load_store_unit_i/rdata_offset_q_reg_0_/D
            3.89               *    core_i/load_store_unit_i/rdata_offset_q_reg_0_/CK
               *               *    core_i/load_store_unit_i/rdata_offset_q_reg_0_/RN
            3.89            3.93    core_i/load_store_unit_i/rdata_offset_q_reg_0_/Q
            4.03            3.93    core_i/load_store_unit_i/rdata_offset_q_reg_0_/QN
            1.21            1.32    core_i/load_store_unit_i/U600/A1
            1.75            1.78    core_i/load_store_unit_i/U600/A2
            1.32            1.21    core_i/load_store_unit_i/U600/ZN
            1.20            1.31    core_i/load_store_unit_i/U603/A1
            1.74            1.78    core_i/load_store_unit_i/U603/A2
            1.31            1.20    core_i/load_store_unit_i/U603/ZN
            0.37            0.51    core_i/load_store_unit_i/U414/B1
            0.47            0.55    core_i/load_store_unit_i/U414/B2
            0.21            0.26    core_i/load_store_unit_i/U414/A
            0.26            0.21    core_i/load_store_unit_i/U414/ZN
            1.21            1.32    core_i/load_store_unit_i/U607/A1
            1.75            1.78    core_i/load_store_unit_i/U607/A2
            1.32            1.21    core_i/load_store_unit_i/U607/ZN
            1.20            1.31    core_i/load_store_unit_i/U610/A1
            1.75            1.78    core_i/load_store_unit_i/U610/A2
            1.31            1.20    core_i/load_store_unit_i/U610/ZN
            0.37            0.51    core_i/load_store_unit_i/U420/B1
            0.47            0.55    core_i/load_store_unit_i/U420/B2
            0.21            0.26    core_i/load_store_unit_i/U420/A
            0.26            0.21    core_i/load_store_unit_i/U420/ZN
            1.21            1.32    core_i/load_store_unit_i/U614/A1
            1.74            1.78    core_i/load_store_unit_i/U614/A2
            1.32            1.21    core_i/load_store_unit_i/U614/ZN
            1.20            1.31    core_i/load_store_unit_i/U617/A1
            1.75            1.78    core_i/load_store_unit_i/U617/A2
            1.31            1.20    core_i/load_store_unit_i/U617/ZN
            1.21            1.32    core_i/load_store_unit_i/U621/A1
            1.75            1.78    core_i/load_store_unit_i/U621/A2
            1.32            1.21    core_i/load_store_unit_i/U621/ZN
            1.20            1.31    core_i/load_store_unit_i/U624/A1
            1.75            1.78    core_i/load_store_unit_i/U624/A2
            1.31            1.20    core_i/load_store_unit_i/U624/ZN
            0.37            0.51    core_i/load_store_unit_i/U435/B1
            0.47            0.55    core_i/load_store_unit_i/U435/B2
            0.21            0.26    core_i/load_store_unit_i/U435/A
            0.26            0.21    core_i/load_store_unit_i/U435/ZN
            1.21            1.32    core_i/load_store_unit_i/U628/A1
            1.75            1.78    core_i/load_store_unit_i/U628/A2
            1.32            1.21    core_i/load_store_unit_i/U628/ZN
            0.40            0.58    core_i/load_store_unit_i/U438/C1
            0.32            0.46    core_i/load_store_unit_i/U438/C2
            0.15            0.25    core_i/load_store_unit_i/U438/A
            0.11            0.23    core_i/load_store_unit_i/U438/B
            0.23            0.11    core_i/load_store_unit_i/U438/ZN
            1.20            1.31    core_i/load_store_unit_i/U631/A1
            1.74            1.78    core_i/load_store_unit_i/U631/A2
            1.31            1.20    core_i/load_store_unit_i/U631/ZN
            0.37            0.51    core_i/load_store_unit_i/U442/C1
            0.32            0.46    core_i/load_store_unit_i/U442/C2
            0.15            0.25    core_i/load_store_unit_i/U442/A
            0.11            0.23    core_i/load_store_unit_i/U442/B
            0.23            0.11    core_i/load_store_unit_i/U442/ZN
            1.21            1.32    core_i/load_store_unit_i/U635/A1
            1.75            1.78    core_i/load_store_unit_i/U635/A2
            1.32            1.21    core_i/load_store_unit_i/U635/ZN
            0.40            0.60    core_i/load_store_unit_i/U445/C1
            0.32            0.48    core_i/load_store_unit_i/U445/C2
            0.15            0.28    core_i/load_store_unit_i/U445/A
            0.11            0.25    core_i/load_store_unit_i/U445/B
            0.25            0.11    core_i/load_store_unit_i/U445/ZN
            1.20            1.31    core_i/load_store_unit_i/U638/A1
            1.75            1.78    core_i/load_store_unit_i/U638/A2
            1.31            1.20    core_i/load_store_unit_i/U638/ZN
            0.41            0.59    core_i/load_store_unit_i/U448/C1
            0.32            0.47    core_i/load_store_unit_i/U448/C2
            0.15            0.27    core_i/load_store_unit_i/U448/A
            0.11            0.24    core_i/load_store_unit_i/U448/B
            0.24            0.11    core_i/load_store_unit_i/U448/ZN
            1.21            1.32    core_i/load_store_unit_i/U642/A1
            1.74            1.78    core_i/load_store_unit_i/U642/A2
            1.32            1.21    core_i/load_store_unit_i/U642/ZN
            0.40            0.58    core_i/load_store_unit_i/U451/C1
            0.32            0.46    core_i/load_store_unit_i/U451/C2
            0.15            0.25    core_i/load_store_unit_i/U451/A
            0.11            0.23    core_i/load_store_unit_i/U451/B
            0.23            0.11    core_i/load_store_unit_i/U451/ZN
            1.20            1.31    core_i/load_store_unit_i/U645/A1
            1.75            1.78    core_i/load_store_unit_i/U645/A2
            1.31            1.20    core_i/load_store_unit_i/U645/ZN
            0.37            0.51    core_i/load_store_unit_i/U454/C1
            0.32            0.46    core_i/load_store_unit_i/U454/C2
            0.15            0.25    core_i/load_store_unit_i/U454/A
            0.11            0.23    core_i/load_store_unit_i/U454/B
            0.23            0.11    core_i/load_store_unit_i/U454/ZN
            0.37            0.51    core_i/load_store_unit_i/U457/C1
            0.32            0.46    core_i/load_store_unit_i/U457/C2
            0.15            0.25    core_i/load_store_unit_i/U457/A
            0.11            0.23    core_i/load_store_unit_i/U457/B
            0.23            0.11    core_i/load_store_unit_i/U457/ZN
            1.21            1.32    core_i/load_store_unit_i/U649/A1
            1.75            1.78    core_i/load_store_unit_i/U649/A2
            1.32            1.21    core_i/load_store_unit_i/U649/ZN
            0.52            0.68    core_i/load_store_unit_i/U15/A1
            0.82            0.89    core_i/load_store_unit_i/U15/A2
            0.68            0.52    core_i/load_store_unit_i/U15/ZN
            0.37            0.21    core_i/load_store_unit_i/U19/A1
            0.51            0.36    core_i/load_store_unit_i/U19/A2
            0.21            0.37    core_i/load_store_unit_i/U19/ZN
            0.40            0.58    core_i/load_store_unit_i/U460/C1
            0.32            0.46    core_i/load_store_unit_i/U460/C2
            0.14            0.25    core_i/load_store_unit_i/U460/A
            0.11            0.23    core_i/load_store_unit_i/U460/B
            0.23            0.11    core_i/load_store_unit_i/U460/ZN
            1.20            1.31    core_i/load_store_unit_i/U652/A1
            1.75            1.78    core_i/load_store_unit_i/U652/A2
            1.31            1.20    core_i/load_store_unit_i/U652/ZN
            0.37            0.51    core_i/load_store_unit_i/U463/C1
            0.32            0.46    core_i/load_store_unit_i/U463/C2
            0.15            0.25    core_i/load_store_unit_i/U463/A
            0.11            0.23    core_i/load_store_unit_i/U463/B
            0.23            0.11    core_i/load_store_unit_i/U463/ZN
            1.21            1.32    core_i/load_store_unit_i/U656/A1
            1.75            1.78    core_i/load_store_unit_i/U656/A2
            1.32            1.21    core_i/load_store_unit_i/U656/ZN
            0.37            0.51    core_i/load_store_unit_i/U466/C1
            0.32            0.46    core_i/load_store_unit_i/U466/C2
            0.15            0.25    core_i/load_store_unit_i/U466/A
            0.11            0.23    core_i/load_store_unit_i/U466/B
            0.23            0.11    core_i/load_store_unit_i/U466/ZN
            1.20            1.31    core_i/load_store_unit_i/U659/A1
            1.74            1.78    core_i/load_store_unit_i/U659/A2
            1.31            1.20    core_i/load_store_unit_i/U659/ZN
            0.40            0.58    core_i/load_store_unit_i/U469/C1
            0.32            0.46    core_i/load_store_unit_i/U469/C2
            0.15            0.25    core_i/load_store_unit_i/U469/A
            0.11            0.23    core_i/load_store_unit_i/U469/B
            0.23            0.11    core_i/load_store_unit_i/U469/ZN
            0.18            0.33    core_i/load_store_unit_i/U24/B1
            0.34            0.46    core_i/load_store_unit_i/U24/B2
            0.16            0.26    core_i/load_store_unit_i/U24/A
            0.26            0.16    core_i/load_store_unit_i/U24/ZN
            1.20            1.20    core_i/load_store_unit_i/U661/A1
            1.75            1.78    core_i/load_store_unit_i/U661/A2
            1.20            1.20    core_i/load_store_unit_i/U661/ZN
            1.22            1.21    core_i/load_store_unit_i/U660/A1
            1.75            1.78    core_i/load_store_unit_i/U660/A2
            1.21            1.22    core_i/load_store_unit_i/U660/ZN
            1.22            1.21    core_i/load_store_unit_i/U666/A1
            1.75            1.78    core_i/load_store_unit_i/U666/A2
            1.21            1.22    core_i/load_store_unit_i/U666/ZN
            1.20            1.20    core_i/load_store_unit_i/U668/A1
            1.75            1.78    core_i/load_store_unit_i/U668/A2
            1.20            1.20    core_i/load_store_unit_i/U668/ZN
            1.22            1.21    core_i/load_store_unit_i/U673/A1
            1.74            1.78    core_i/load_store_unit_i/U673/A2
            1.21            1.22    core_i/load_store_unit_i/U673/ZN
            1.34            1.33    core_i/load_store_unit_i/U290/A
            1.42            1.44    core_i/load_store_unit_i/U290/B
            1.34            1.33    core_i/load_store_unit_i/U290/ZN
            1.20            1.20    core_i/load_store_unit_i/U675/A1
            1.75            1.78    core_i/load_store_unit_i/U675/A2
            1.20            1.20    core_i/load_store_unit_i/U675/ZN
            1.22            1.21    core_i/load_store_unit_i/U680/A1
            1.75            1.78    core_i/load_store_unit_i/U680/A2
            1.21            1.22    core_i/load_store_unit_i/U680/ZN
            1.20            1.20    core_i/load_store_unit_i/U682/A1
            1.74            1.78    core_i/load_store_unit_i/U682/A2
            1.20            1.20    core_i/load_store_unit_i/U682/ZN
            1.22            1.21    core_i/load_store_unit_i/U687/A1
            1.75            1.78    core_i/load_store_unit_i/U687/A2
            1.21            1.22    core_i/load_store_unit_i/U687/ZN
            1.20            1.20    core_i/load_store_unit_i/U689/A1
            1.75            1.78    core_i/load_store_unit_i/U689/A2
            1.20            1.20    core_i/load_store_unit_i/U689/ZN
            3.55            3.67    core_i/load_store_unit_i/U306/B1
            3.08            3.08    core_i/load_store_unit_i/U306/B2
            3.14            3.21    core_i/load_store_unit_i/U306/A
            3.08            3.08    core_i/load_store_unit_i/U306/ZN
            0.68            0.68    core_i/load_store_unit_i/U117/A1
            0.62            0.60    core_i/load_store_unit_i/U117/A2
            0.62            0.60    core_i/load_store_unit_i/U117/ZN
            1.22            1.21    core_i/load_store_unit_i/U694/A1
            1.75            1.78    core_i/load_store_unit_i/U694/A2
            1.21            1.22    core_i/load_store_unit_i/U694/ZN
            1.20            1.20    core_i/load_store_unit_i/U696/A1
            1.75            1.78    core_i/load_store_unit_i/U696/A2
            1.20            1.20    core_i/load_store_unit_i/U696/ZN
            1.36            1.40    core_i/load_store_unit_i/U503/A1
            1.78            1.76    core_i/load_store_unit_i/U503/A2
            1.40            1.36    core_i/load_store_unit_i/U503/ZN
            1.22            1.21    core_i/load_store_unit_i/U700/A1
            1.74            1.78    core_i/load_store_unit_i/U700/A2
            1.21            1.22    core_i/load_store_unit_i/U700/ZN
            1.20            1.20    core_i/load_store_unit_i/U701/A1
            1.75            1.78    core_i/load_store_unit_i/U701/A2
            1.20            1.20    core_i/load_store_unit_i/U701/ZN
            1.22            1.21    core_i/load_store_unit_i/U706/A1
            1.75            1.78    core_i/load_store_unit_i/U706/A2
            1.21            1.22    core_i/load_store_unit_i/U706/ZN
            1.20            1.20    core_i/load_store_unit_i/U708/A1
            1.74            1.78    core_i/load_store_unit_i/U708/A2
            1.20            1.20    core_i/load_store_unit_i/U708/ZN
            1.22            1.21    core_i/load_store_unit_i/U519/A1
            1.76            1.78    core_i/load_store_unit_i/U519/A2
            1.21            1.22    core_i/load_store_unit_i/U519/ZN
            1.22            1.21    core_i/load_store_unit_i/U713/A1
            1.75            1.78    core_i/load_store_unit_i/U713/A2
            1.21            1.22    core_i/load_store_unit_i/U713/ZN
            1.20            1.20    core_i/load_store_unit_i/U522/A1
            1.75            1.78    core_i/load_store_unit_i/U522/A2
            1.20            1.20    core_i/load_store_unit_i/U522/ZN
            1.20            1.20    core_i/load_store_unit_i/U715/A1
            1.75            1.78    core_i/load_store_unit_i/U715/A2
            1.20            1.20    core_i/load_store_unit_i/U715/ZN
            1.22            1.21    core_i/load_store_unit_i/U528/A1
            1.75            1.78    core_i/load_store_unit_i/U528/A2
            1.21            1.22    core_i/load_store_unit_i/U528/ZN
            1.18            1.19    core_i/load_store_unit_i/U96/A
            1.19            1.18    core_i/load_store_unit_i/U96/ZN
            1.22            1.21    core_i/load_store_unit_i/U720/A1
            1.75            1.78    core_i/load_store_unit_i/U720/A2
            1.21            1.22    core_i/load_store_unit_i/U720/ZN
            1.20            1.20    core_i/load_store_unit_i/U530/A1
            1.77            1.78    core_i/load_store_unit_i/U530/A2
            1.20            1.20    core_i/load_store_unit_i/U530/ZN
            1.20            1.20    core_i/load_store_unit_i/U722/A1
            1.75            1.78    core_i/load_store_unit_i/U722/A2
            1.20            1.20    core_i/load_store_unit_i/U722/ZN
            0.19            0.11    core_i/load_store_unit_i/U150/B1
            0.38            0.23    core_i/load_store_unit_i/U150/B2
            0.37            0.22    core_i/load_store_unit_i/U150/A
            0.11            0.19    core_i/load_store_unit_i/U150/ZN
            1.22            1.21    core_i/load_store_unit_i/U535/A1
            1.76            1.79    core_i/load_store_unit_i/U535/A2
            1.21            1.22    core_i/load_store_unit_i/U535/ZN
            1.22            1.21    core_i/load_store_unit_i/U727/A1
            1.74            1.78    core_i/load_store_unit_i/U727/A2
            1.21            1.22    core_i/load_store_unit_i/U727/ZN
            1.20            1.20    core_i/load_store_unit_i/U537/A1
            1.75            1.78    core_i/load_store_unit_i/U537/A2
            1.20            1.20    core_i/load_store_unit_i/U537/ZN
            1.20            1.20    core_i/load_store_unit_i/U729/A1
            1.75            1.78    core_i/load_store_unit_i/U729/A2
            1.20            1.20    core_i/load_store_unit_i/U729/ZN
            1.22            1.21    core_i/load_store_unit_i/U542/A1
            1.75            1.78    core_i/load_store_unit_i/U542/A2
            1.21            1.22    core_i/load_store_unit_i/U542/ZN
            1.22            1.21    core_i/load_store_unit_i/U734/A1
            1.75            1.78    core_i/load_store_unit_i/U734/A2
            1.21            1.22    core_i/load_store_unit_i/U734/ZN
            1.20            1.20    core_i/load_store_unit_i/U544/A1
            1.76            1.79    core_i/load_store_unit_i/U544/A2
            1.20            1.20    core_i/load_store_unit_i/U544/ZN
            1.20            1.20    core_i/load_store_unit_i/U736/A1
            1.74            1.78    core_i/load_store_unit_i/U736/A2
            1.20            1.20    core_i/load_store_unit_i/U736/ZN
            1.22            1.21    core_i/load_store_unit_i/U548/A1
            1.75            1.78    core_i/load_store_unit_i/U548/A2
            1.21            1.22    core_i/load_store_unit_i/U548/ZN
            1.80            1.78    core_i/load_store_unit_i/U741/A1
            1.23            1.29    core_i/load_store_unit_i/U741/A2
            1.36            1.26    core_i/load_store_unit_i/U741/A3
            1.23            1.26    core_i/load_store_unit_i/U741/ZN
            1.20            1.20    core_i/load_store_unit_i/U550/A1
            1.75            1.78    core_i/load_store_unit_i/U550/A2
            1.20            1.20    core_i/load_store_unit_i/U550/ZN
            1.30            1.19    core_i/load_store_unit_i/U744/A1
            1.31            1.20    core_i/load_store_unit_i/U744/A2
            1.30            1.19    core_i/load_store_unit_i/U744/ZN
            1.22            1.21    core_i/load_store_unit_i/U555/A1
            1.75            1.78    core_i/load_store_unit_i/U555/A2
            1.21            1.22    core_i/load_store_unit_i/U555/ZN
            1.20            1.20    core_i/load_store_unit_i/U557/A1
            1.75            1.78    core_i/load_store_unit_i/U557/A2
            1.20            1.20    core_i/load_store_unit_i/U557/ZN
            1.22            1.21    core_i/load_store_unit_i/U562/A1
            1.74            1.78    core_i/load_store_unit_i/U562/A2
            1.21            1.22    core_i/load_store_unit_i/U562/ZN
            1.20            1.20    core_i/load_store_unit_i/U564/A1
            1.75            1.78    core_i/load_store_unit_i/U564/A2
            1.20            1.20    core_i/load_store_unit_i/U564/ZN
