               *               *    core_i/load_store_unit_i/U517/output
            0.71            0.75    core_i/load_store_unit_i/U194/A2
            0.73            0.62    core_i/load_store_unit_i/U194/ZN
            0.31            0.42    core_i/load_store_unit_i/U395/A
            0.42            0.31    core_i/load_store_unit_i/U395/ZN
            0.71            0.81    core_i/load_store_unit_i/U202/A1
            0.80            0.82    core_i/load_store_unit_i/U202/A2
            0.81            0.71    core_i/load_store_unit_i/U202/ZN
            1.24            1.30    core_i/load_store_unit_i/U215/A1
            1.33            1.32    core_i/load_store_unit_i/U215/A2
            1.30            1.24    core_i/load_store_unit_i/U215/ZN
            1.15            1.22    core_i/load_store_unit_i/U217/A1
            1.23            1.24    core_i/load_store_unit_i/U217/A2
            1.22            1.15    core_i/load_store_unit_i/U217/ZN
            1.21            1.24    core_i/load_store_unit_i/U222/A1
            1.30            1.23    core_i/load_store_unit_i/U222/A2
            1.23            1.21    core_i/load_store_unit_i/U222/ZN
            1.18            1.23    core_i/load_store_unit_i/U225/A1
            1.27            1.24    core_i/load_store_unit_i/U225/A2
            1.23            1.18    core_i/load_store_unit_i/U225/ZN
            1.26            1.33    core_i/load_store_unit_i/U228/A1
            1.36            1.36    core_i/load_store_unit_i/U228/A2
            1.33            1.26    core_i/load_store_unit_i/U228/ZN
            1.41            1.46    core_i/load_store_unit_i/U230/A1
            1.50            1.47    core_i/load_store_unit_i/U230/A2
            1.46            1.41    core_i/load_store_unit_i/U230/ZN
            1.49            1.55    core_i/load_store_unit_i/U237/A1
            1.58            1.57    core_i/load_store_unit_i/U237/A2
            1.55            1.49    core_i/load_store_unit_i/U237/ZN
            1.53            1.58    core_i/load_store_unit_i/U239/A1
            1.63            1.61    core_i/load_store_unit_i/U239/A2
            1.58            1.53    core_i/load_store_unit_i/U239/ZN
            1.61            1.62    core_i/load_store_unit_i/U243/A1
            1.68            1.62    core_i/load_store_unit_i/U243/A2
            1.62            1.61    core_i/load_store_unit_i/U243/ZN
            4.20            4.14    core_i/load_store_unit_i/U473/A1
            0.53            0.40    core_i/load_store_unit_i/U473/A2
            4.22            4.14    core_i/load_store_unit_i/U473/B1
            0.53            0.39    core_i/load_store_unit_i/U473/B2
            0.39            0.53    core_i/load_store_unit_i/U473/ZN
            4.17            4.15    core_i/load_store_unit_i/U474/A1
            0.53            0.39    core_i/load_store_unit_i/U474/A2
            4.13            4.12    core_i/load_store_unit_i/U474/B1
            4.40            4.28    core_i/load_store_unit_i/U474/B2
            0.39            0.53    core_i/load_store_unit_i/U474/ZN
            4.09            4.14    core_i/load_store_unit_i/U102/A1
            4.04            4.11    core_i/load_store_unit_i/U102/A2
            4.11            4.04    core_i/load_store_unit_i/U102/ZN
            1.26            1.21    core_i/load_store_unit_i/U103/A1
            1.31            1.34    core_i/load_store_unit_i/U103/A2
            1.21            1.26    core_i/load_store_unit_i/U103/ZN
